.csv,.csv_lower_0.95,.csv_upper_0.95
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9846153846153846,0.8957736795909979,0.9978184520262453
0.9684741488020172,0.879697891932943,0.9920262610709425
0.9505394423427206,0.8539947680376682,0.9838292822615649
0.9307365372939136,0.8248331927802618,0.9736002037862486
0.9307365372939136,0.8248331927802618,0.9736002037862486
0.9085761435488204,0.7921461743154977,0.9613176038973839
0.9085761435488204,0.7921461743154977,0.9613176038973839
0.9085761435488204,0.7921461743154977,0.9613176038973839
0.9085761435488204,0.7921461743154977,0.9613176038973839
0.9085761435488204,0.7921461743154977,0.9613176038973839
0.9085761435488204,0.7921461743154977,0.9613176038973839
0.9085761435488204,0.7921461743154977,0.9613176038973839
0.8690728329597415,0.7158226202129837,0.942799841115331
