Timeline,"""Abstract from facility WITHOUT CoC accreditation","""Abstract from facility WITHOUT CoC accreditation_lower_0.95","""Abstract from facility WITHOUT CoC accreditation_upper_0.95"
0,1.0,1.0,1.0
1,0.9158878504672905,0.8445955359748483,0.9553228294864227
2,0.8242990654205617,0.7354161447522732,0.8856041285221925
3,0.7721282384952101,0.6768802255328926,0.8425155350164678
4,0.7286280560447754,0.629112238758804,0.8055159676863852
5,0.6949990688427091,0.5927880726746487,0.7763421489493428
6,0.6718324332146188,0.5679825488344855,0.7560295497429107
7,0.6474021629159054,0.541845764748777,0.7345485388183711
8,0.622013842801556,0.5148489087332019,0.7120829027494027
9,0.622013842801556,0.5148489087332019,0.7120829027494027
10,0.622013842801556,0.5148489087332019,0.7120829027494027
11,0.622013842801556,0.5148489087332019,0.7120829027494027
12,0.6060647699092085,0.49701452487427905,0.698594971689006
13,0.6060647699092085,0.49701452487427905,0.698594971689006
14,0.6060647699092085,0.49701452487427905,0.698594971689006
15,0.6060647699092085,0.49701452487427905,0.698594971689006
16,0.5851659847399253,0.4720013131423451,0.6821767971271401
17,0.5585675308881104,0.4384883775685353,0.6627226120052159
18,0.5275360013943267,0.39920713707658045,0.6405614083597776
19,0.49236693463470477,0.35549623633973393,0.6154534444672796
20,0.49236693463470477,0.35549623633973393,0.6154534444672796
