"""Abstract from facility WITHOUT CoC accred...","""Abstract from facility WITHOUT CoC accred..._lower_0.95","""Abstract from facility WITHOUT CoC accred..._upper_0.95"
1.0,1.0,1.0
0.8611111111111112,0.6979916625232114,0.9397057848682018
0.8055555555555557,0.6349517385322294,0.9021881786205004
0.7500000000000001,0.5745613523547233,0.86126930938872
0.7500000000000001,0.5745613523547233,0.86126930938872
0.7500000000000001,0.5745613523547233,0.86126930938872
0.7173913043478264,0.5375023031112274,0.8372032892323121
0.7173913043478264,0.5375023031112274,0.8372032892323121
0.6775362318840584,0.4897594040595308,0.8087220373585717
0.6775362318840584,0.4897594040595308,0.8087220373585717
0.6775362318840584,0.4897594040595308,0.8087220373585717
0.6775362318840584,0.4897594040595308,0.8087220373585717
0.6775362318840584,0.4897594040595308,0.8087220373585717
0.6775362318840584,0.4897594040595308,0.8087220373585717
0.6775362318840584,0.4897594040595308,0.8087220373585717
0.5928442028985511,0.35836564605598115,0.7661591227302059
0.4940368357487926,0.2374672694423148,0.7076223653984922
0.4940368357487926,0.2374672694423148,0.7076223653984922
0.4940368357487926,0.2374672694423148,0.7076223653984922
0.4940368357487926,0.2374672694423148,0.7076223653984922
